,predict
2022-08-01 15:35:59.999,22909.404000000002
2022-08-01 15:36:59.999,22906.994
2022-08-01 15:37:59.999,22903.556
2022-08-01 15:38:59.999,22902.236
2022-08-01 15:39:59.999,22904.004
2022-08-01 15:40:59.999,22909.016
2022-08-01 15:41:59.999,22915.030000000002
2022-08-01 15:42:59.999,22920.112000000005
2022-08-01 15:43:59.999,22925.760000000002
2022-08-01 15:44:59.999,22929.742000000002
2022-08-01 15:45:59.999,22931.282
2022-08-01 15:46:59.999,22932.28
2022-08-01 15:47:59.999,22932.826
2022-08-01 15:48:59.999,22933.257999999998
2022-08-01 15:49:59.999,22925.568
2022-08-01 15:50:59.999,22919.082
2022-08-01 15:51:59.999,22912.757999999998
2022-08-01 15:52:59.999,22908.233999999993
2022-08-01 15:53:59.999,22908.474000000002
2022-08-01 15:54:59.999,22918.306
2022-08-01 15:55:59.999,22926.386000000002
2022-08-01 15:56:59.999,22936.094
2022-08-01 15:57:59.999,22943.385999999995
2022-08-01 15:58:59.999,22941.392
2022-08-01 15:59:59.999,22939.904000000002
2022-08-01 16:00:59.999,22933.87
2022-08-01 16:01:59.999,22925.323999999997
2022-08-01 16:02:59.999,22914.836
2022-08-01 16:03:59.999,22904.813999999995
2022-08-01 16:04:59.999,22882.037999999997
2022-08-01 16:05:59.999,22869.613999999998
2022-08-01 16:06:59.999,22855.631999999998
2022-08-01 16:07:59.999,22850.788
2022-08-01 16:08:59.999,22850.716
2022-08-01 16:09:59.999,22862.720000000005
2022-08-01 16:10:59.999,22869.055999999997
2022-08-01 16:11:59.999,22881.354000000003
2022-08-01 16:12:59.999,22883.962
2022-08-01 16:13:59.999,22890.228
2022-08-01 16:14:59.999,22894.311999999998
2022-08-01 16:15:59.999,22898.535999999996
2022-08-01 16:16:59.999,22902.452
2022-08-01 16:17:59.999,22912.27
2022-08-01 16:18:59.999,22916.202
2022-08-01 16:19:59.999,22922.379999999997
2022-08-01 16:20:59.999,22929.86
2022-08-01 16:21:59.999,22932.0
2022-08-01 16:22:59.999,22932.183999999997
2022-08-01 16:23:59.999,22936.33
2022-08-01 16:24:59.999,22936.073999999997
2022-08-01 16:25:59.999,22934.872
2022-08-01 16:26:59.999,22938.192
2022-08-01 16:27:59.999,22942.17
2022-08-01 16:28:59.999,22947.893999999997
2022-08-01 16:29:59.999,22953.143999999997
2022-08-01 16:30:59.999,22958.64
2022-08-01 16:31:59.999,22963.305999999997
2022-08-01 16:32:59.999,22971.754
2022-08-01 16:33:59.999,22975.596
2022-08-01 16:34:59.999,22989.978
2022-08-01 16:35:59.999,23003.68
2022-08-01 16:36:59.999,23012.598
2022-08-01 16:37:59.999,23015.606
2022-08-01 16:38:59.999,23017.338
2022-08-01 16:39:59.999,23009.324
2022-08-01 16:40:59.999,23001.627999999997
2022-08-01 16:41:59.999,22998.379999999997
2022-08-01 16:42:59.999,22994.924000000003
2022-08-01 16:43:59.999,22992.428000000004
2022-08-01 16:44:59.999,22991.428000000004
2022-08-01 16:45:59.999,22988.590000000004
2022-08-01 16:46:59.999,22984.459999999995
2022-08-01 16:47:59.999,22980.91
2022-08-01 16:48:59.999,22978.402
2022-08-01 16:49:59.999,22980.128
2022-08-01 16:50:59.999,22980.082
2022-08-01 16:51:59.999,22982.342
2022-08-01 16:52:59.999,22983.806
2022-08-01 16:53:59.999,22977.876
2022-08-01 16:54:59.999,22970.15
2022-08-01 16:55:59.999,22965.088
2022-08-01 16:56:59.999,22960.112000000005
2022-08-01 16:57:59.999,22955.971999999998
2022-08-01 16:58:59.999,22955.806
2022-08-01 16:59:59.999,22947.238
2022-08-01 17:00:59.999,22940.396
2022-08-01 17:01:59.999,22933.492000000002
2022-08-01 17:02:59.999,22917.194000000003
2022-08-01 17:03:59.999,22899.841999999997
2022-08-01 17:04:59.999,22890.811999999998
2022-08-01 17:05:59.999,22877.31
2022-08-01 17:06:59.999,22865.304
2022-08-01 17:07:59.999,22863.958000000002
2022-08-01 17:08:59.999,22869.308
2022-08-01 17:09:59.999,22870.775999999998
2022-08-01 17:10:59.999,22874.528
2022-08-01 17:11:59.999,22856.041999999998
