,predict
2022-08-01 21:17:59.999,23294.286000000004
2022-08-01 21:18:59.999,23302.136
2022-08-01 21:19:59.999,23298.998
2022-08-01 21:20:59.999,23297.381999999998
2022-08-01 21:21:59.999,23288.45
2022-08-01 21:22:59.999,23281.148
2022-08-01 21:23:59.999,23271.314000000002
2022-08-01 21:24:59.999,23260.294
2022-08-01 21:25:59.999,23229.812
2022-08-01 21:26:59.999,23210.834
2022-08-01 21:27:59.999,23185.237999999998
2022-08-01 21:28:59.999,23168.266
2022-08-01 21:29:59.999,23147.17
2022-08-01 21:30:59.999,23135.67
2022-08-01 21:31:59.999,23109.104
2022-08-01 21:32:59.999,23101.088
2022-08-01 21:33:59.999,23096.01
2022-08-01 21:34:59.999,23098.868
2022-08-01 21:35:59.999,23108.984000000004
2022-08-01 21:36:59.999,23129.0
2022-08-01 21:37:59.999,23130.134
2022-08-01 21:38:59.999,23121.526
2022-08-01 21:39:59.999,23110.812
2022-08-01 21:40:59.999,23088.264
2022-08-01 21:41:59.999,23072.386
2022-08-01 21:42:59.999,23063.314
2022-08-01 21:43:59.999,23060.384
2022-08-01 21:44:59.999,23053.634000000002
2022-08-01 21:45:59.999,23049.356000000003
2022-08-01 21:46:59.999,23035.896000000004
2022-08-01 21:47:59.999,23014.698
2022-08-01 21:48:59.999,22985.639999999996
2022-08-01 21:49:59.999,22936.435999999994
2022-08-01 21:50:59.999,22901.72
2022-08-01 21:51:59.999,22881.283999999996
2022-08-01 21:52:59.999,22860.160000000003
2022-08-01 21:53:59.999,22842.602
2022-08-01 21:54:59.999,22843.792
2022-08-01 21:55:59.999,22841.074
2022-08-01 21:56:59.999,22809.82
2022-08-01 21:57:59.999,22789.007999999998
2022-08-01 21:58:59.999,22773.488
2022-08-01 21:59:59.999,22754.086
2022-08-01 22:00:59.999,22730.100000000002
2022-08-01 22:01:59.999,22732.896
2022-08-01 22:02:59.999,22729.774
2022-08-01 22:03:59.999,22713.074
2022-08-01 22:04:59.999,22721.744000000002
2022-08-01 22:05:59.999,22738.265999999996
2022-08-01 22:06:59.999,22750.615999999998
2022-08-01 22:07:59.999,22760.772
2022-08-01 22:08:59.999,22777.26
2022-08-01 22:09:59.999,22784.912
2022-08-01 22:10:59.999,22787.026
2022-08-01 22:11:59.999,22791.042000000005
2022-08-01 22:12:59.999,22797.844
2022-08-01 22:13:59.999,22802.329999999998
2022-08-01 22:14:59.999,22803.375999999997
2022-08-01 22:15:59.999,22806.064
2022-08-01 22:16:59.999,22808.030000000002
2022-08-01 22:17:59.999,22800.336000000003
2022-08-01 22:18:59.999,22804.814000000002
2022-08-01 22:19:59.999,22803.946000000004
2022-08-01 22:20:59.999,22812.792
2022-08-01 22:21:59.999,22817.702
2022-08-01 22:22:59.999,22827.682
2022-08-01 22:23:59.999,22826.866
2022-08-01 22:24:59.999,22825.446000000004
2022-08-01 22:25:59.999,22810.374
2022-08-01 22:26:59.999,22796.676
2022-08-01 22:27:59.999,22783.786000000004
2022-08-01 22:28:59.999,22777.082
2022-08-01 22:29:59.999,22773.604
2022-08-01 22:30:59.999,22768.93
2022-08-01 22:31:59.999,22764.64
2022-08-01 22:32:59.999,22759.566
2022-08-01 22:33:59.999,22749.554000000004
2022-08-01 22:34:59.999,22747.461999999996
2022-08-01 22:35:59.999,22755.390000000003
2022-08-01 22:36:59.999,22760.06
2022-08-01 22:37:59.999,22771.854
2022-08-01 22:38:59.999,22789.908
2022-08-01 22:39:59.999,22805.219999999998
2022-08-01 22:40:59.999,22818.129999999997
2022-08-01 22:41:59.999,22826.724
2022-08-01 22:42:59.999,22831.776
2022-08-01 22:43:59.999,22831.418
2022-08-01 22:44:59.999,22824.090000000004
2022-08-01 22:45:59.999,22814.354000000003
2022-08-01 22:46:59.999,22806.947999999997
2022-08-01 22:47:59.999,22800.282
2022-08-01 22:48:59.999,22804.255999999998
2022-08-01 22:49:59.999,22810.136
2022-08-01 22:50:59.999,22816.163999999997
2022-08-01 22:51:59.999,22823.134000000005
2022-08-01 22:52:59.999,22828.11
2022-08-01 22:53:59.999,22823.375999999997
