,predict
2022-08-01 23:27:59.999,23028.484
2022-08-01 23:28:59.999,23033.588
2022-08-01 23:29:59.999,23039.471999999998
2022-08-01 23:30:59.999,23046.728000000003
2022-08-01 23:31:59.999,23044.724000000006
2022-08-01 23:32:59.999,23043.762
2022-08-01 23:33:59.999,23048.424
2022-08-01 23:34:59.999,23061.799999999996
2022-08-01 23:35:59.999,23071.631999999998
2022-08-01 23:36:59.999,23087.345999999998
2022-08-01 23:37:59.999,23097.485999999997
2022-08-01 23:38:59.999,23104.274
2022-08-01 23:39:59.999,23105.357999999997
2022-08-01 23:40:59.999,23110.234
2022-08-01 23:41:59.999,23111.994000000002
2022-08-01 23:42:59.999,23120.841999999997
2022-08-01 23:43:59.999,23126.77
2022-08-01 23:44:59.999,23128.935999999998
2022-08-01 23:45:59.999,23130.030000000002
2022-08-01 23:46:59.999,23134.454
2022-08-01 23:47:59.999,23136.068
2022-08-01 23:48:59.999,23148.196
2022-08-01 23:49:59.999,23163.520000000004
2022-08-01 23:50:59.999,23177.192
2022-08-01 23:51:59.999,23185.078
2022-08-01 23:52:59.999,23193.692
2022-08-01 23:53:59.999,23193.064
2022-08-01 23:54:59.999,23190.278
2022-08-01 23:55:59.999,23188.106
2022-08-01 23:56:59.999,23195.631999999998
2022-08-01 23:57:59.999,23193.232
2022-08-01 23:58:59.999,23185.03
2022-08-01 23:59:59.999,23182.546
2022-08-02 00:00:59.999,23178.203999999998
2022-08-02 00:01:59.999,23168.311999999998
2022-08-02 00:02:59.999,23166.85
2022-08-02 00:03:59.999,23166.319999999996
2022-08-02 00:04:59.999,23158.064
2022-08-02 00:05:59.999,23145.62
2022-08-02 00:06:59.999,23134.432
2022-08-02 00:07:59.999,23126.816000000003
2022-08-02 00:08:59.999,23119.766
2022-08-02 00:09:59.999,23113.09
2022-08-02 00:10:59.999,23113.538
2022-08-02 00:11:59.999,23111.97
2022-08-02 00:12:59.999,23115.446
2022-08-02 00:13:59.999,23119.104
2022-08-02 00:14:59.999,23137.43
2022-08-02 00:15:59.999,23148.302
2022-08-02 00:16:59.999,23161.54
2022-08-02 00:17:59.999,23161.774
2022-08-02 00:18:59.999,23168.846
2022-08-02 00:19:59.999,23168.572
2022-08-02 00:20:59.999,23166.377999999997
2022-08-02 00:21:59.999,23159.183999999997
2022-08-02 00:22:59.999,23160.356000000003
2022-08-02 00:23:59.999,23153.239999999998
2022-08-02 00:24:59.999,23141.772
2022-08-02 00:25:59.999,23140.791999999998
2022-08-02 00:26:59.999,23141.798000000003
2022-08-02 00:27:59.999,23135.218
2022-08-02 00:28:59.999,23126.946
2022-08-02 00:29:59.999,23121.44
2022-08-02 00:30:59.999,23117.398
2022-08-02 00:31:59.999,23110.85
2022-08-02 00:32:59.999,23108.684
2022-08-02 00:33:59.999,23111.880000000005
2022-08-02 00:34:59.999,23122.543999999998
2022-08-02 00:35:59.999,23125.448
2022-08-02 00:36:59.999,23139.471999999998
2022-08-02 00:37:59.999,23152.556
2022-08-02 00:38:59.999,23167.399999999998
2022-08-02 00:39:59.999,23166.663999999997
2022-08-02 00:40:59.999,23176.443999999996
2022-08-02 00:41:59.999,23177.932000000004
2022-08-02 00:42:59.999,23176.942
2022-08-02 00:43:59.999,23176.074
2022-08-02 00:44:59.999,23183.440000000002
2022-08-02 00:45:59.999,23191.15
2022-08-02 00:46:59.999,23199.676000000003
2022-08-02 00:47:59.999,23213.095999999998
2022-08-02 00:48:59.999,23223.061999999998
2022-08-02 00:49:59.999,23229.368
2022-08-02 00:50:59.999,23230.588000000003
2022-08-02 00:51:59.999,23233.478000000003
2022-08-02 00:52:59.999,23232.222
2022-08-02 00:53:59.999,23231.615999999998
2022-08-02 00:54:59.999,23234.744000000002
2022-08-02 00:55:59.999,23239.634
2022-08-02 00:56:59.999,23247.224000000002
2022-08-02 00:57:59.999,23270.478000000003
2022-08-02 00:58:59.999,23287.688000000002
2022-08-02 00:59:59.999,23301.215999999997
2022-08-02 01:00:59.999,23309.268
2022-08-02 01:01:59.999,23314.100000000002
2022-08-02 01:02:59.999,23307.9
2022-08-02 01:03:59.999,23308.925999999996
